numb,RegionName2,Date,Incident_Rate,Mortality_Rate,mean_sickness,mean_death
55,DE,2020-06-06T07:00:00Z,1003.6312699997125,3.9701217640437942,1214.7849534635843,3.6577354238234148
56,DE,2020-06-07T07:00:00Z,1011.0252586869098,3.9614017267648554,1214.7849534635843,3.6577354238234148
57,DE,2020-06-08T07:00:00Z,1020.9866045571617,4.003218668276001,1214.7849534635843,3.6577354238234148
58,DE,2020-06-09T07:00:00Z,1024.0674331768273,3.99117529081428,1214.7849534635843,3.6577354238234148
59,DE,2020-06-10T07:00:00Z,1028.9967589682922,4.091816367265469,1214.7849534635843,3.6577354238234148
60,DE,2020-06-11T07:00:00Z,1032.6937533118908,4.107000795544948,1214.7849534635843,3.6577354238234148
61,DE,2020-06-12T07:00:00Z,1037.828467678,4.0965762913120924,1214.7849534635843,3.6577354238234148
62,DE,2020-06-13T07:00:00Z,1044.7089849285865,4.069595989383663,1214.7849534635843,3.6577354238234148
63,DE,2020-06-14T07:00:00Z,1050.4598650186288,4.096197086714244,1214.7849534635843,3.6577354238234148
64,DE,2020-06-15T07:00:00Z,1054.0541650749053,4.111457521434139,1214.7849534635843,3.6577354238234148
65,DE,2020-06-16T07:00:00Z,1061.8589309113913,4.090909090909091,1214.7849534635843,3.6577354238234148
66,DE,2020-06-17T07:00:00Z,1068.3286710126888,4.075747380563299,1214.7849534635843,3.6577354238234148
67,DE,2020-06-18T07:00:00Z,1072.5391367928985,4.078896974339334,1214.7849534635843,3.6577354238234148
68,DE,2020-06-19T07:00:00Z,1078.1873225956188,4.105152871702066,1214.7849534635843,3.6577354238234148
69,DE,2020-06-20T07:00:00Z,1089.6890827757034,4.080671001790595,1214.7849534635843,3.6577354238234148
70,DE,2020-06-21T07:00:00Z,1096.8776828882562,4.063289954124146,1214.7849534635843,3.6577354238234148
71,DE,2020-06-22T07:00:00Z,1106.5309458965417,4.037122969837587,1214.7849534635843,3.6577354238234148
72,DE,2020-06-23T07:00:00Z,1111.15218882604,4.020332717190388,1214.7849534635843,3.6577354238234148
73,DE,2020-06-24T07:00:00Z,1113.924934583739,4.646446021941551,1214.7849534635843,3.6577354238234148
74,DE,2020-06-25T07:00:00Z,1118.2380946512708,4.637707778492056,1214.7849534635843,3.6577354238234148
75,DE,2020-06-26T07:00:00Z,1127.5832747975896,4.617486338797814,1214.7849534635843,3.6577354238234148
76,DE,2020-06-27T07:00:00Z,1131.3829634285105,4.601978760098031,1214.7849534635843,3.6577354238234148
77,DE,2020-06-28T07:00:00Z,1138.982340690352,4.571274005950771,1214.7849534635843,3.6577354238234148
78,DE,2020-06-29T07:00:00Z,1152.846069478847,4.516301443078568,1214.7849534635843,3.6577354238234148
79,DE,2020-06-30T07:00:00Z,1168.2502125771746,4.4567510548523215,1214.7849534635843,3.6577354238234148
80,DE,2020-07-01T07:00:00Z,1178.3142527347488,4.43611643716228,1214.7849534635843,3.6577354238234148
81,DE,2020-07-02T07:00:00Z,1182.0112470783474,4.422241529105126,1214.7849534635843,3.6577354238234148
82,DE,2020-07-03T07:00:00Z,1204.7066845765503,4.3474554598925925,1214.7849534635843,3.6577354238234148
