app,open,duration,sec
Snapchat,1/26/2018 8:05,1m 21s,81
Instagram,1/26/2018 8:07,4m 23s,263
Phone,1/26/2018 8:16,9s,9
Instagram,1/26/2018 8:16,2s,2
Instagram,1/26/2018 8:16,2s,2
System UI,1/26/2018 8:16,1s,1
Messages,1/26/2018 8:17,5s,5
Pandora,1/26/2018 8:17,2s,2
Pandora,1/26/2018 8:17,2s,2
Messages,1/26/2018 8:21,10s,10
Pandora,1/26/2018 8:26,8s,8
Pandora,1/26/2018 8:50,4s,4
Messenger Lite,1/26/2018 9:00,14s,14
Gmail,1/26/2018 9:00,1s,1
Pandora,1/26/2018 9:03,4s,4
Pandora,1/26/2018 9:03,2s,2
System UI,1/26/2018 9:03,9s,9
Instagram,1/26/2018 9:15,58s,58
Instagram,1/26/2018 9:16,2s,2
Instagram,1/26/2018 9:16,15s,15
System UI,1/26/2018 9:16,1s,1
Keep,1/26/2018 9:22,4s,4
Gmail,1/26/2018 9:22,12s,12
Messages,1/26/2018 9:22,46s,46
Gmail,1/26/2018 9:23,27s,27
Gmail,1/26/2018 9:23,21s,21
Messages,1/26/2018 9:24,21s,21
Messages,1/26/2018 9:25,1s,1
Messages,1/26/2018 9:34,2s,2
Messages,1/26/2018 9:34,2s,2
Messages,1/26/2018 9:36,37s,37
Messages,1/26/2018 9:36,2s,2
Calendar,1/26/2018 9:40,2s,2
Instagram,1/26/2018 9:40,8m 40s,520
Pandora,1/26/2018 9:49,1s,1
Pandora,1/26/2018 9:49,4s,4
Gmail,1/26/2018 10:04,6s,6
Gmail,1/26/2018 10:04,4s,4
Gmail,1/26/2018 10:11,1m 11s,71
Gmail,1/26/2018 10:12,1s,1
Messages,1/26/2018 10:12,20s,20
Phone,1/26/2018 10:21,47s,47
System UI,1/26/2018 10:23,1s,1
Gmail,1/26/2018 10:26,4s,4
Messages,1/26/2018 10:41,2s,2
Messenger Lite,1/26/2018 10:41,1s,1
Messenger Lite,1/26/2018 10:41,22s,22
Android System,1/26/2018 10:41,2s,2
Messages,1/26/2018 10:41,1s,1
Messages,1/26/2018 10:42,2s,2
Messages,1/26/2018 10:42,22s,22
Gallery,1/26/2018 10:42,8s,8
Messenger Lite,1/26/2018 10:42,1s,1
Messages,1/26/2018 11:21,1m 6s,66
Messages,1/26/2018 11:25,1m 33s,93
Messenger Lite,1/26/2018 11:26,7s,7
Messenger Lite,1/26/2018 11:26,2s,2
Instagram,1/26/2018 11:26,11s,11
Messages,1/26/2018 11:27,1s,1
Gmail,1/26/2018 11:38,1m ,60
Gmail,1/26/2018 11:39,3s,3
Pandora,1/26/2018 11:39,2s,2
Pandora,1/26/2018 11:41,24s,24
Messages,1/26/2018 11:45,11s,11
Phone,1/26/2018 11:46,1m 17s,77
Phone,1/26/2018 11:50,5s,5
Messages,1/26/2018 11:50,5s,5
Gmail,1/26/2018 11:51,7s,7
Messenger Lite,1/26/2018 11:51,3s,3
Messenger Lite,1/26/2018 11:51,16s,16
Messenger Lite,1/26/2018 11:51,1s,1
Messenger Lite,1/26/2018 11:51,13s,13
Messenger Lite,1/26/2018 12:14,1m ,60
Messages,1/26/2018 12:19,58s,58
Messenger Lite,1/26/2018 12:20,2s,2
Instagram,1/26/2018 12:20,55s,55
Instagram,1/26/2018 12:51,12s,12
Messenger Lite,1/26/2018 13:12,3s,3
Messenger Lite,1/26/2018 13:13,2s,2
Gmail,1/26/2018 13:13,7s,7
Messenger Lite,1/26/2018 14:06,6s,6
Gmail,1/26/2018 14:17,4s,4
Messages,1/26/2018 14:18,18s,18
Messages,1/26/2018 14:24,12s,12
Messenger Lite,1/26/2018 14:24,1s,1
Messages,1/26/2018 14:24,1s,1
Messenger Lite,1/26/2018 14:30,8s,8
Gmail,1/26/2018 14:34,1m ,60
Messages,1/26/2018 14:35,2s,2
Messages,1/26/2018 14:35,19s,19
Messages,1/26/2018 14:36,1m 8s,68
Contacts,1/26/2018 14:38,3s,3
Phone,1/26/2018 14:38,13s,13
Contacts,1/26/2018 14:38,42s,42
Phone,1/26/2018 14:40,1m 22s,82
Messages,1/26/2018 14:42,1m 8s,68
Messages,1/26/2018 14:45,27s,27
Phone,1/26/2018 14:46,2s,2
Phone,1/26/2018 14:47,1s,1
Phone,1/26/2018 14:47,2s,2
Calendar,1/26/2018 14:48,1m 13s,73
Calendar,1/26/2018 14:51,22s,22
Messages,1/26/2018 14:51,23s,23
Messages,1/26/2018 14:52,1s,1
Messages,1/26/2018 14:53,2s,2
Messages,1/26/2018 14:54,2s,2
Phone,1/26/2018 14:56,59s,59
Phone,1/26/2018 14:58,1m ,60
Phone,1/26/2018 14:59,6s,6
Messenger Lite,1/26/2018 15:13,1m ,60
Messenger Lite,1/26/2018 15:17,7s,7
